등록번호,학원명,지역,주소,학년상태,공시학년,과목별학년,이전공개학년,등록근거,보류문구,후기검토단서,기존순위대상,점검일
3000021650,사과나무학원,mokdong,서울특별시 양천구 목동동로 427,미확인,,"{""general"": """", ""math"": """", ""english"": """", ""korean"": """"}","중등, 고등",[],[],"{""middle"": 38, ""high"": 40, ""elem_low"": 2, ""elem_high"": 4}",예,2026-09-19
3000035580,생각하는황소,mokdong,서울특별시 양천구 오목로 321-1,미확인,,"{""general"": """", ""math"": """"}","초등저학년, 초등고학년, 중등",[],[],"{""elem_high"": 5, ""middle"": 4, ""elem_low"": 5, ""high"": 3}",예,2026-09-19
3000038094,서로뮤지컬연기학원,mokdong,서울특별시 양천구 신목로 78,미확인,,"{""etc"": """"}",,[],[],"{""elem_low"": 4, ""high"": 1, ""middle"": 1}",예,2026-09-19
3000051385,서로뮤지컬학원,mokdong,서울특별시 양천구 신목로12길 7,미확인,,"{""etc"": """"}",초등저학년,[],[],"{""elem_low"": 6, ""high"": 1, ""middle"": 1}",예,2026-09-19
3002,씨앤씨학원,mokdong,서울특별시 양천구 목동서로 389,미확인,,"{""general"": """", ""english"": """"}",중등,[],[],"{""middle"": 5, ""elem_low"": 1}",예,2026-09-19
3000039519,아고라학원,mokdong,서울특별시 양천구 목동서로 63,미확인,,"{""general"": """", ""math"": """"}",고등,[],[],"{""high"": 9, ""middle"": 2}",예,2026-09-19
11905,알바트로스학원,mokdong,서울특별시 양천구 목동동로8길 3,미확인,,"{""general"": """"}","초등고학년, 중등, 고등",[],[],"{""elem_low"": 1, ""middle"": 2, ""high"": 1, ""elem_high"": 1}",예,2026-09-19
3000033062,에스제이음악학원,mokdong,서울특별시 양천구 목동동로 339,미확인,,"{""arts"": """"}",,[],[],{},예,2026-09-19
17417,에이원학원,mokdong,서울특별시 양천구 목동서로 349,미확인,,"{""general"": """", ""math"": """"}","중등, 고등",[],[],"{""high"": 2}",예,2026-09-19
3000027440,예섬학원,mokdong,서울특별시 양천구 오목로 336,미확인,,"{""general"": """", ""korean"": """"}","중등, 고등",[],[],"{""high"": 7, ""middle"": 2}",예,2026-09-19
3000028603,와와학습코칭학원,mokdong,서울특별시 양천구 목동동로8길 23,미확인,,"{""general"": """", ""math"": """", ""english"": """"}","초등고학년, 중등, 고등",[],[],"{""middle"": 12, ""high"": 16, ""elem_high"": 13, ""elem_low"": 2}",예,2026-09-19
10268,인피니티,mokdong,서울특별시 양천구 목동중앙로 95,미확인,,"{""general"": """", ""math"": """"}",,[],[],"{""middle"": 1, ""elem_low"": 1, ""elem_high"": 1}",예,2026-09-19
3000031609,즐거운음악학원,mokdong,서울특별시 양천구 목동중앙북로16길 58,미확인,,"{""arts"": """"}",,[],[],"{""elem_low"": 1}",예,2026-09-19
3000020561,챌린지학원,mokdong,서울특별시 양천구 목동서로 389,미확인,,"{""general"": """", ""math"": """", ""english"": """", ""korean"": """"}","초등저학년, 중등, 고등",[],[],"{""elem_low"": 13, ""middle"": 11, ""high"": 23, ""elem_high"": 7}",예,2026-09-19
14799,피큐브,mokdong,서울특별시 양천구 신목로 53,미확인,,"{""general"": """", ""math"": """", ""english"": """"}",중등,[],[],"{""middle"": 5, ""high"": 4, ""elem_high"": 2}",예,2026-09-19
26806,학림학원,mokdong,서울특별시 양천구 중앙로 322,미확인,,"{""general"": """", ""english"": """"}","중등, 고등",[],[],"{""high"": 9, ""elem_high"": 1, ""middle"": 5}",예,2026-09-19
15913,한기주,mokdong,서울특별시 양천구 목동서로 49,미확인,,"{""math"": """", ""general"": """"}",고등,[],[],"{""middle"": 1, ""high"": 5}",예,2026-09-19
3000053424,(주)엘브라운반포학원,banpo,서울특별시 서초구 신반포로 195,미확인,,"{""general"": """"}",,[],[],{},아니오,2026-09-19
3000050443,(주)제이원액터스튜디오학원,banpo,서울특별시 서초구 신반포로47길 61,미확인,,"{""arts"": """"}",,[],[],{},아니오,2026-09-19
3000043478,(주)크레버스청담어학원서초제2지점학원,banpo,서울특별시 서초구 고무래로10길 27,미확인,,"{""english"": """"}",이전 등록부: 학년 없음,[],[],{},아니오,2026-09-19
1000036020,103미술학원,banpo,서울특별시 서초구 서초중앙로 230,미확인,,"{""arts"": """"}",,[],[],{},아니오,2026-09-19
3000049024,612어학원,banpo,서울특별시 서초구 강남대로 399,미확인,,"{""english"": """"}",이전 등록부: 학년 없음,[],[],{},아니오,2026-09-19
3000027763,919수학학원,banpo,서울특별시 서초구 신반포로 205,미확인,,"{""math"": """"}",이전 등록부: 학년 없음,[],[],{},아니오,2026-09-19
3000052337,DT당톡스피치학원,banpo,서울특별시 서초구 나루터로 73,미확인,,"{""arts"": """"}",,[],[],{},아니오,2026-09-19
3000040000,JYDMC연기학원,banpo,서울특별시 서초구 나루터로 60,미확인,,"{""etc"": """"}",이전 등록부: 학년 없음,[],[],{},아니오,2026-09-19
